>NZ_CP043554.1 Vibrio cholerae strain RFB16 chromosome 1, complete sequence
  Start: 1, End: 10000, G band, GC%: 48.56, AT%: 51.44
  Start: 1020001, End: 1030000, G band, GC%: 48.39, AT%: 51.61
  Start: 1030001, End: 1040000, G band, GC%: 46.23, AT%: 53.77
  Start: 1040001, End: 1050000, G band, GC%: 46.93, AT%: 53.07
  Start: 1050001, End: 1060000, G band, GC%: 43.49, AT%: 56.51
  Start: 1060001, End: 1070000, G band, GC%: 46.13, AT%: 53.87
  Start: 1070001, End: 1080000, G band, GC%: 47.71, AT%: 52.29
  Start: 1080001, End: 1090000, G band, GC%: 41.41, AT%: 58.59
  Start: 1090001, End: 1100000, G band, GC%: 42.74, AT%: 57.26
  Start: 1100001, End: 1110000, G band, GC%: 34.54, AT%: 65.46
  Start: 1110001, End: 1120000, G band, GC%: 38.97, AT%: 61.03
  Start: 1120001, End: 1130000, G band, GC%: 38.18, AT%: 61.82
  Start: 1130001, End: 1140000, G band, GC%: 42.92, AT%: 57.08
  Start: 1140001, End: 1150000, G band, GC%: 36.93, AT%: 63.07
  Start: 1150001, End: 1160000, G band, GC%: 44.49, AT%: 55.51
  Start: 1160001, End: 1170000, G band, GC%: 48.37, AT%: 51.63
  Start: 1170001, End: 1180000, G band, GC%: 47.68, AT%: 52.32
  Start: 1180001, End: 1190000, G band, GC%: 47.06, AT%: 52.94
  Start: 1190001, End: 1200000, R band, GC%: 50.03, AT%: 49.97
  Start: 1200001, End: 1210000, G band, GC%: 48.57, AT%: 51.43
  Start: 1210001, End: 1220000, G band, GC%: 47.86, AT%: 52.14
  Start: 1220001, End: 1230000, G band, GC%: 48.88, AT%: 51.12
  Start: 1230001, End: 1240000, G band, GC%: 49.11, AT%: 50.89
  Start: 1240001, End: 1250000, G band, GC%: 48.29, AT%: 51.71
  Start: 1250001, End: 1260000, G band, GC%: 47.83, AT%: 52.17
  Start: 1260001, End: 1270000, G band, GC%: 45.3, AT%: 54.7
  Start: 1270001, End: 1280000, G band, GC%: 46.09, AT%: 53.91
  Start: 1280001, End: 1290000, G band, GC%: 47.3, AT%: 52.7
  Start: 1290001, End: 1300000, G band, GC%: 48.5, AT%: 51.5
  Start: 1300001, End: 1310000, G band, GC%: 49.13, AT%: 50.87
  Start: 1310001, End: 1320000, R band, GC%: 52.0, AT%: 48.0
  Start: 1320001, End: 1330000, G band, GC%: 47.19, AT%: 52.81
  Start: 1330001, End: 1340000, G band, GC%: 45.67, AT%: 54.33
  Start: 1340001, End: 1350000, G band, GC%: 48.14, AT%: 51.86
  Start: 1350001, End: 1360000, R band, GC%: 50.35, AT%: 49.65
  Start: 1360001, End: 1370000, G band, GC%: 48.64, AT%: 51.36
  Start: 1370001, End: 1380000, G band, GC%: 47.61, AT%: 52.39
  Start: 1380001, End: 1390000, G band, GC%: 48.64, AT%: 51.36
  Start: 1390001, End: 1400000, G band, GC%: 46.73, AT%: 53.27
  Start: 1400001, End: 1410000, G band, GC%: 48.36, AT%: 51.64
  Start: 1410001, End: 1420000, G band, GC%: 48.73, AT%: 51.27
  Start: 1420001, End: 1430000, G band, GC%: 48.97, AT%: 51.03
  Start: 1430001, End: 1440000, G band, GC%: 47.31, AT%: 52.69
  Start: 1440001, End: 1450000, G band, GC%: 45.88, AT%: 54.12
  Start: 1450001, End: 1460000, G band, GC%: 44.44, AT%: 55.56
  Start: 1460001, End: 1470000, G band, GC%: 45.6, AT%: 54.4
  Start: 1470001, End: 1480000, G band, GC%: 47.97, AT%: 52.03
  Start: 1480001, End: 1490000, G band, GC%: 45.69, AT%: 54.31
  Start: 1490001, End: 1500000, G band, GC%: 44.41, AT%: 55.59
  Start: 1500001, End: 1510000, G band, GC%: 44.39, AT%: 55.61
  Start: 1510001, End: 1520000, G band, GC%: 46.53, AT%: 53.47
  Start: 1520001, End: 1530000, G band, GC%: 45.37, AT%: 54.63
  Start: 1530001, End: 1540000, G band, GC%: 45.47, AT%: 54.53
  Start: 1540001, End: 1550000, R band, GC%: 50.53, AT%: 49.47
  Start: 1550001, End: 1560000, G band, GC%: 49.56, AT%: 50.44
  Start: 1560001, End: 1570000, G band, GC%: 45.4, AT%: 54.6
  Start: 1570001, End: 1580000, G band, GC%: 45.84, AT%: 54.16
  Start: 1580001, End: 1590000, G band, GC%: 46.41, AT%: 53.59
  Start: 1590001, End: 1600000, R band, GC%: 50.01, AT%: 49.99
  Start: 1600001, End: 1610000, R band, GC%: 50.11, AT%: 49.89
  Start: 1610001, End: 1620000, G band, GC%: 44.37, AT%: 55.63
  Start: 1620001, End: 1630000, G band, GC%: 47.65, AT%: 52.35
  Start: 1630001, End: 1640000, G band, GC%: 48.69, AT%: 51.31
  Start: 1640001, End: 1650000, G band, GC%: 47.19, AT%: 52.81
  Start: 1650001, End: 1660000, G band, GC%: 47.7, AT%: 52.3
  Start: 1660001, End: 1670000, G band, GC%: 47.65, AT%: 52.35
  Start: 1670001, End: 1680000, G band, GC%: 46.17, AT%: 53.83
  Start: 1680001, End: 1690000, G band, GC%: 49.74, AT%: 50.26
  Start: 1690001, End: 1700000, G band, GC%: 47.29, AT%: 52.71
  Start: 1700001, End: 1710000, G band, GC%: 47.03, AT%: 52.97
  Start: 1710001, End: 1720000, G band, GC%: 49.83, AT%: 50.17
  Start: 1720001, End: 1730000, G band, GC%: 48.7, AT%: 51.3
  Start: 1730001, End: 1740000, G band, GC%: 48.15, AT%: 51.85
  Start: 1740001, End: 1750000, G band, GC%: 49.17, AT%: 50.83
  Start: 1750001, End: 1760000, G band, GC%: 47.6, AT%: 52.4
  Start: 1760001, End: 1770000, G band, GC%: 47.42, AT%: 52.58
  Start: 1770001, End: 1780000, G band, GC%: 49.62, AT%: 50.38
  Start: 1780001, End: 1790000, R band, GC%: 50.24, AT%: 49.76
  Start: 1790001, End: 1800000, G band, GC%: 48.74, AT%: 51.26
  Start: 1800001, End: 1810000, G band, GC%: 46.57, AT%: 53.43
  Start: 1810001, End: 1820000, G band, GC%: 47.12, AT%: 52.88
  Start: 1820001, End: 1830000, G band, GC%: 48.24, AT%: 51.76
  Start: 1830001, End: 1840000, G band, GC%: 47.88, AT%: 52.12
  Start: 1840001, End: 1850000, G band, GC%: 49.12, AT%: 50.88
  Start: 1850001, End: 1860000, G band, GC%: 47.79, AT%: 52.21
  Start: 1860001, End: 1870000, G band, GC%: 47.87, AT%: 52.13
  Start: 1870001, End: 1880000, G band, GC%: 45.79, AT%: 54.21
  Start: 1880001, End: 1890000, G band, GC%: 48.54, AT%: 51.46
  Start: 1890001, End: 1900000, G band, GC%: 47.59, AT%: 52.41
  Start: 1900001, End: 1910000, G band, GC%: 46.15, AT%: 53.85
  Start: 1910001, End: 1920000, G band, GC%: 46.73, AT%: 53.27
  Start: 1920001, End: 1930000, G band, GC%: 48.39, AT%: 51.61
  Start: 1930001, End: 1940000, G band, GC%: 48.71, AT%: 51.29
  Start: 1940001, End: 1950000, R band, GC%: 50.13, AT%: 49.87
  Start: 1950001, End: 1960000, G band, GC%: 48.87, AT%: 51.13
  Start: 1960001, End: 1970000, G band, GC%: 47.48, AT%: 52.52
  Start: 1970001, End: 1980000, G band, GC%: 45.39, AT%: 54.61
  Start: 1980001, End: 1990000, G band, GC%: 45.32, AT%: 54.68
  Start: 1990001, End: 2000000, G band, GC%: 44.97, AT%: 55.03
  Start: 2000001, End: 2010000, G band, GC%: 49.18, AT%: 50.82
  Start: 2010001, End: 2020000, G band, GC%: 47.57, AT%: 52.43
  Start: 2020001, End: 2030000, G band, GC%: 45.91, AT%: 54.09
  Start: 2030001, End: 2040000, G band, GC%: 43.69, AT%: 56.31
  Start: 2040001, End: 2050000, G band, GC%: 39.22, AT%: 60.78
  Start: 2050001, End: 2060000, G band, GC%: 47.53, AT%: 52.47
  Start: 2060001, End: 2070000, G band, GC%: 47.04, AT%: 52.96
  Start: 2070001, End: 2080000, G band, GC%: 48.23, AT%: 51.77
  Start: 2080001, End: 2090000, G band, GC%: 48.93, AT%: 51.07
  Start: 2090001, End: 2100000, G band, GC%: 49.23, AT%: 50.77
  Start: 2100001, End: 2110000, G band, GC%: 45.0, AT%: 55.0
  Start: 2110001, End: 2120000, G band, GC%: 44.75, AT%: 55.25
  Start: 2120001, End: 2130000, G band, GC%: 46.85, AT%: 53.15
  Start: 2130001, End: 2140000, R band, GC%: 50.64, AT%: 49.36
  Start: 2140001, End: 2150000, G band, GC%: 48.5, AT%: 51.5
  Start: 2150001, End: 2160000, R band, GC%: 50.71, AT%: 49.29
  Start: 2160001, End: 2170000, G band, GC%: 47.59, AT%: 52.41
  Start: 2170001, End: 2180000, G band, GC%: 48.45, AT%: 51.55
  Start: 2180001, End: 2190000, G band, GC%: 48.94, AT%: 51.06
  Start: 2190001, End: 2200000, G band, GC%: 48.3, AT%: 51.7
  Start: 2200001, End: 2210000, G band, GC%: 48.89, AT%: 51.11
  Start: 2210001, End: 2220000, G band, GC%: 48.66, AT%: 51.34
  Start: 2220001, End: 2230000, G band, GC%: 49.77, AT%: 50.23
  Start: 2230001, End: 2240000, G band, GC%: 45.84, AT%: 54.16
  Start: 2240001, End: 2250000, G band, GC%: 49.4, AT%: 50.6
  Start: 2250001, End: 2260000, G band, GC%: 49.81, AT%: 50.19
  Start: 2260001, End: 2270000, G band, GC%: 46.36, AT%: 53.64
  Start: 2270001, End: 2280000, G band, GC%: 46.96, AT%: 53.04
  Start: 2280001, End: 2290000, G band, GC%: 48.0, AT%: 52.0
  Start: 2290001, End: 2300000, G band, GC%: 48.73, AT%: 51.27
  Start: 2300001, End: 2310000, G band, GC%: 46.99, AT%: 53.01
  Start: 2310001, End: 2320000, G band, GC%: 46.39, AT%: 53.61
  Start: 2320001, End: 2330000, G band, GC%: 47.25, AT%: 52.75
  Start: 2330001, End: 2340000, G band, GC%: 49.71, AT%: 50.29
  Start: 2340001, End: 2350000, G band, GC%: 49.16, AT%: 50.84
  Start: 2350001, End: 2360000, R band, GC%: 50.75, AT%: 49.25
  Start: 2360001, End: 2370000, R band, GC%: 50.35, AT%: 49.65
  Start: 2370001, End: 2380000, G band, GC%: 46.51, AT%: 53.49
  Start: 2380001, End: 2390000, G band, GC%: 46.04, AT%: 53.96
  Start: 2390001, End: 2400000, G band, GC%: 47.87, AT%: 52.13
  Start: 2400001, End: 2410000, G band, GC%: 49.42, AT%: 50.58
  Start: 2410001, End: 2420000, R band, GC%: 50.09, AT%: 49.91
  Start: 2420001, End: 2430000, G band, GC%: 49.2, AT%: 50.8
  Start: 2430001, End: 2440000, G band, GC%: 46.08, AT%: 53.92
  Start: 2440001, End: 2450000, G band, GC%: 41.19, AT%: 58.81
  Start: 2450001, End: 2460000, G band, GC%: 46.28, AT%: 53.72
  Start: 2460001, End: 2470000, G band, GC%: 45.0, AT%: 55.0
  Start: 2470001, End: 2480000, G band, GC%: 49.84, AT%: 50.16
  Start: 2480001, End: 2490000, R band, GC%: 50.72, AT%: 49.28
  Start: 2490001, End: 2500000, G band, GC%: 48.46, AT%: 51.54
  Start: 2500001, End: 2510000, G band, GC%: 48.3, AT%: 51.7
  Start: 2510001, End: 2520000, G band, GC%: 47.93, AT%: 52.07
  Start: 2520001, End: 2530000, G band, GC%: 49.06, AT%: 50.94
  Start: 2530001, End: 2540000, G band, GC%: 46.9, AT%: 53.1
  Start: 2540001, End: 2550000, G band, GC%: 48.9, AT%: 51.1
  Start: 2550001, End: 2560000, G band, GC%: 47.95, AT%: 52.05
  Start: 2560001, End: 2570000, G band, GC%: 48.66, AT%: 51.34
  Start: 2570001, End: 2580000, G band, GC%: 48.97, AT%: 51.03
  Start: 2580001, End: 2590000, G band, GC%: 46.35, AT%: 53.65
  Start: 2590001, End: 2600000, G band, GC%: 45.36, AT%: 54.64
  Start: 2600001, End: 2610000, G band, GC%: 45.13, AT%: 54.87
  Start: 2610001, End: 2620000, G band, GC%: 46.78, AT%: 53.22
  Start: 2620001, End: 2630000, G band, GC%: 47.41, AT%: 52.59
  Start: 2630001, End: 2640000, G band, GC%: 47.66, AT%: 52.34
  Start: 2640001, End: 2650000, G band, GC%: 48.94, AT%: 51.06
  Start: 2650001, End: 2660000, G band, GC%: 48.96, AT%: 51.04
  Start: 2660001, End: 2670000, G band, GC%: 46.32, AT%: 53.68
  Start: 2670001, End: 2680000, R band, GC%: 50.56, AT%: 49.44
  Start: 2680001, End: 2690000, G band, GC%: 48.38, AT%: 51.62
  Start: 2690001, End: 2700000, R band, GC%: 51.43, AT%: 48.57
  Start: 2700001, End: 2710000, G band, GC%: 48.76, AT%: 51.24
  Start: 2710001, End: 2720000, R band, GC%: 52.22, AT%: 47.78
  Start: 2720001, End: 2730000, R band, GC%: 50.22, AT%: 49.78
  Start: 2730001, End: 2740000, R band, GC%: 50.23, AT%: 49.77
  Start: 2740001, End: 2750000, G band, GC%: 38.87, AT%: 61.13
  Start: 2750001, End: 2760000, G band, GC%: 41.92, AT%: 58.08
  Start: 2760001, End: 2770000, G band, GC%: 43.91, AT%: 56.09
  Start: 2770001, End: 2780000, G band, GC%: 32.52, AT%: 67.48
  Start: 2780001, End: 2790000, G band, GC%: 38.33, AT%: 61.67
  Start: 2790001, End: 2800000, G band, GC%: 38.77, AT%: 61.23
  Start: 2800001, End: 2810000, R band, GC%: 50.04, AT%: 49.96
  Start: 2810001, End: 2820000, R band, GC%: 50.54, AT%: 49.46
  Start: 2820001, End: 2830000, R band, GC%: 51.97, AT%: 48.03
  Start: 2830001, End: 2840000, R band, GC%: 52.09, AT%: 47.91
  Start: 2840001, End: 2850000, G band, GC%: 49.4, AT%: 50.6
  Start: 2850001, End: 2860000, G band, GC%: 47.19, AT%: 52.81
  Start: 2860001, End: 2870000, R band, GC%: 50.02, AT%: 49.98
  Start: 2870001, End: 2880000, G band, GC%: 49.42, AT%: 50.58
  Start: 2880001, End: 2890000, G band, GC%: 48.53, AT%: 51.47
  Start: 2890001, End: 2900000, G band, GC%: 48.01, AT%: 51.99
  Start: 2900001, End: 2910000, G band, GC%: 48.54, AT%: 51.46
  Start: 2910001, End: 2920000, G band, GC%: 49.79, AT%: 50.21
  Start: 2920001, End: 2930000, R band, GC%: 51.55, AT%: 48.45
  Start: 2930001, End: 2940000, R band, GC%: 50.2, AT%: 49.8
  Start: 2940001, End: 2948589, G band, GC%: 49.82, AT%: 50.18
>NZ_CP043556.1 Vibrio cholerae strain RFB16 chromosome 2, complete sequence
  Start: 1, End: 10000, G band, GC%: 43.97, AT%: 56.03
  Start: 10001, End: 20000, G band, GC%: 43.21, AT%: 56.79
  Start: 20001, End: 30000, G band, GC%: 47.24, AT%: 52.76
  Start: 30001, End: 40000, G band, GC%: 47.35, AT%: 52.65
  Start: 40001, End: 50000, G band, GC%: 48.88, AT%: 51.12
  Start: 50001, End: 60000, G band, GC%: 49.22, AT%: 50.78
  Start: 60001, End: 70000, G band, GC%: 48.49, AT%: 51.51
  Start: 70001, End: 80000, G band, GC%: 47.77, AT%: 52.23
  Start: 80001, End: 90000, G band, GC%: 49.27, AT%: 50.73
  Start: 90001, End: 100000, G band, GC%: 48.24, AT%: 51.76
  Start: 100001, End: 110000, G band, GC%: 47.23, AT%: 52.77
  Start: 110001, End: 120000, G band, GC%: 46.14, AT%: 53.86
  Start: 120001, End: 130000, G band, GC%: 49.08, AT%: 50.92
  Start: 130001, End: 140000, G band, GC%: 46.3, AT%: 53.7
  Start: 140001, End: 150000, G band, GC%: 47.16, AT%: 52.84
  Start: 150001, End: 160000, G band, GC%: 49.9, AT%: 50.1
  Start: 160001, End: 170000, G band, GC%: 48.63, AT%: 51.37
  Start: 170001, End: 180000, R band, GC%: 50.51, AT%: 49.49
  Start: 180001, End: 190000, G band, GC%: 46.48, AT%: 53.52
  Start: 190001, End: 200000, G band, GC%: 49.21, AT%: 50.79
  Start: 200001, End: 210000, G band, GC%: 47.94, AT%: 52.06
  Start: 210001, End: 220000, G band, GC%: 48.7, AT%: 51.3
  Start: 220001, End: 230000, R band, GC%: 50.79, AT%: 49.21
  Start: 230001, End: 240000, G band, GC%: 47.42, AT%: 52.58
  Start: 240001, End: 250000, G band, GC%: 47.17, AT%: 52.83
  Start: 250001, End: 260000, G band, GC%: 47.95, AT%: 52.05
  Start: 260001, End: 270000, G band, GC%: 47.73, AT%: 52.27
  Start: 270001, End: 280000, G band, GC%: 47.37, AT%: 52.63
  Start: 280001, End: 290000, G band, GC%: 47.65, AT%: 52.35
  Start: 290001, End: 300000, R band, GC%: 50.85, AT%: 49.15
  Start: 300001, End: 310000, G band, GC%: 49.05, AT%: 50.95
  Start: 310001, End: 320000, G band, GC%: 47.19, AT%: 52.81
  Start: 320001, End: 330000, G band, GC%: 42.54, AT%: 57.46
  Start: 330001, End: 340000, G band, GC%: 48.11, AT%: 51.89
  Start: 340001, End: 350000, G band, GC%: 45.79, AT%: 54.21
  Start: 350001, End: 360000, G band, GC%: 45.06, AT%: 54.94
  Start: 360001, End: 370000, R band, GC%: 50.34, AT%: 49.66
  Start: 370001, End: 380000, G band, GC%: 38.53, AT%: 61.47
  Start: 380001, End: 390000, G band, GC%: 46.28, AT%: 53.72
  Start: 390001, End: 400000, G band, GC%: 44.76, AT%: 55.24
  Start: 400001, End: 410000, G band, GC%: 48.75, AT%: 51.25
  Start: 410001, End: 420000, G band, GC%: 47.04, AT%: 52.96
  Start: 420001, End: 430000, G band, GC%: 48.37, AT%: 51.63
  Start: 430001, End: 440000, G band, GC%: 48.93, AT%: 51.07
  Start: 440001, End: 450000, G band, GC%: 46.35, AT%: 53.65
  Start: 450001, End: 460000, G band, GC%: 44.53, AT%: 55.47
  Start: 460001, End: 470000, G band, GC%: 45.28, AT%: 54.72
  Start: 470001, End: 480000, G band, GC%: 46.9, AT%: 53.1
  Start: 480001, End: 490000, G band, GC%: 48.63, AT%: 51.37
  Start: 490001, End: 500000, G band, GC%: 49.66, AT%: 50.34
  Start: 500001, End: 510000, G band, GC%: 48.32, AT%: 51.68
  Start: 510001, End: 520000, G band, GC%: 48.19, AT%: 51.81
  Start: 520001, End: 530000, G band, GC%: 47.37, AT%: 52.63
  Start: 530001, End: 540000, G band, GC%: 46.49, AT%: 53.51
  Start: 540001, End: 550000, G band, GC%: 49.75, AT%: 50.25
  Start: 550001, End: 560000, G band, GC%: 47.84, AT%: 52.16
  Start: 560001, End: 570000, G band, GC%: 47.74, AT%: 52.26
  Start: 570001, End: 580000, G band, GC%: 48.81, AT%: 51.19
  Start: 580001, End: 590000, G band, GC%: 48.26, AT%: 51.74
  Start: 590001, End: 600000, G band, GC%: 47.28, AT%: 52.72
  Start: 600001, End: 610000, G band, GC%: 46.77, AT%: 53.23
  Start: 610001, End: 620000, G band, GC%: 48.75, AT%: 51.25
  Start: 620001, End: 630000, G band, GC%: 48.96, AT%: 51.04
  Start: 630001, End: 640000, G band, GC%: 45.66, AT%: 54.34
  Start: 640001, End: 650000, G band, GC%: 49.96, AT%: 50.04
  Start: 650001, End: 660000, G band, GC%: 47.19, AT%: 52.81
  Start: 660001, End: 670000, G band, GC%: 46.22, AT%: 53.78
  Start: 670001, End: 680000, G band, GC%: 46.34, AT%: 53.66
  Start: 680001, End: 690000, G band, GC%: 47.0, AT%: 53.0
  Start: 690001, End: 700000, G band, GC%: 48.48, AT%: 51.52
  Start: 700001, End: 710000, G band, GC%: 48.9, AT%: 51.1
  Start: 710001, End: 720000, G band, GC%: 47.64, AT%: 52.36
  Start: 720001, End: 730000, G band, GC%: 45.91, AT%: 54.09
  Start: 730001, End: 740000, G band, GC%: 45.19, AT%: 54.81
  Start: 740001, End: 750000, G band, GC%: 47.99, AT%: 52.01
  Start: 750001, End: 760000, G band, GC%: 46.64, AT%: 53.36
  Start: 760001, End: 770000, R band, GC%: 50.9, AT%: 49.1
  Start: 770001, End: 780000, G band, GC%: 45.48, AT%: 54.52
  Start: 780001, End: 790000, G band, GC%: 49.76, AT%: 50.24
  Start: 790001, End: 800000, G band, GC%: 49.52, AT%: 50.48
  Start: 800001, End: 810000, G band, GC%: 48.72, AT%: 51.28
  Start: 810001, End: 820000, G band, GC%: 48.06, AT%: 51.94
  Start: 820001, End: 830000, G band, GC%: 46.53, AT%: 53.47
  Start: 830001, End: 840000, G band, GC%: 49.04, AT%: 50.96
  Start: 840001, End: 850000, G band, GC%: 47.32, AT%: 52.68
  Start: 850001, End: 860000, G band, GC%: 47.87, AT%: 52.13
  Start: 860001, End: 870000, G band, GC%: 47.5, AT%: 52.5
  Start: 870001, End: 880000, G band, GC%: 47.01, AT%: 52.99
  Start: 880001, End: 890000, G band, GC%: 46.98, AT%: 53.02
