>NZ_CP043554.1 Vibrio cholerae strain RFB16 chromosome 1, complete sequence
  Start: 1, End: 5000, Banda R, GC%: 50.92, AT%: 49.08
  Start: 180001, End: 185000, Banda R, GC%: 50.24, AT%: 49.76
  Start: 185001, End: 190000, Banda G, GC%: 49.64, AT%: 50.36
  Start: 190001, End: 195000, Banda R, GC%: 50.16, AT%: 49.84
  Start: 195001, End: 200000, Banda G, GC%: 49.6, AT%: 50.4
  Start: 200001, End: 205000, Banda G, GC%: 48.84, AT%: 51.16
  Start: 205001, End: 210000, Banda G, GC%: 48.74, AT%: 51.26
  Start: 210001, End: 215000, Banda G, GC%: 48.28, AT%: 51.72
  Start: 215001, End: 220000, Banda G, GC%: 49.46, AT%: 50.54
  Start: 220001, End: 225000, Banda G, GC%: 49.4, AT%: 50.6
  Start: 225001, End: 230000, Banda G, GC%: 49.18, AT%: 50.82
  Start: 230001, End: 235000, Banda G, GC%: 47.4, AT%: 52.6
  Start: 235001, End: 240000, Banda G, GC%: 48.72, AT%: 51.28
  Start: 240001, End: 245000, Banda G, GC%: 48.6, AT%: 51.4
  Start: 245001, End: 250000, Banda G, GC%: 49.38, AT%: 50.62
  Start: 250001, End: 255000, Indeterminado, GC%: 50.0, AT%: 50.0
  Start: 255001, End: 260000, Banda R, GC%: 50.58, AT%: 49.42
  Start: 260001, End: 265000, Banda G, GC%: 49.74, AT%: 50.26
  Start: 265001, End: 270000, Banda G, GC%: 49.36, AT%: 50.64
  Start: 270001, End: 275000, Banda G, GC%: 47.7, AT%: 52.3
  Start: 275001, End: 280000, Banda G, GC%: 46.88, AT%: 53.12
  Start: 280001, End: 285000, Banda G, GC%: 46.48, AT%: 53.52
  Start: 285001, End: 290000, Banda G, GC%: 48.92, AT%: 51.08
  Start: 290001, End: 295000, Banda G, GC%: 49.88, AT%: 50.12
  Start: 295001, End: 300000, Banda G, GC%: 49.6, AT%: 50.4
  Start: 300001, End: 305000, Banda G, GC%: 49.28, AT%: 50.72
  Start: 305001, End: 310000, Banda R, GC%: 50.76, AT%: 49.24
  Start: 310001, End: 315000, Banda R, GC%: 50.62, AT%: 49.38
  Start: 315001, End: 320000, Banda R, GC%: 51.16, AT%: 48.84
  Start: 320001, End: 325000, Banda G, GC%: 49.64, AT%: 50.36
  Start: 325001, End: 330000, Banda G, GC%: 44.32, AT%: 55.68
  Start: 330001, End: 335000, Banda G, GC%: 49.26, AT%: 50.74
  Start: 335001, End: 340000, Banda G, GC%: 49.1, AT%: 50.9
  Start: 340001, End: 345000, Banda R, GC%: 51.2, AT%: 48.8
  Start: 345001, End: 350000, Banda G, GC%: 49.38, AT%: 50.62
  Start: 350001, End: 355000, Banda G, GC%: 45.42, AT%: 54.58
  Start: 355001, End: 360000, Banda R, GC%: 51.1, AT%: 48.9
  Start: 360001, End: 365000, Banda G, GC%: 48.16, AT%: 51.84
  Start: 365001, End: 370000, Banda G, GC%: 44.84, AT%: 55.16
  Start: 370001, End: 375000, Banda G, GC%: 46.76, AT%: 53.24
  Start: 375001, End: 380000, Banda G, GC%: 49.02, AT%: 50.98
  Start: 380001, End: 385000, Banda G, GC%: 48.9, AT%: 51.1
  Start: 385001, End: 390000, Banda G, GC%: 48.54, AT%: 51.46
  Start: 390001, End: 395000, Banda R, GC%: 50.2, AT%: 49.8
  Start: 395001, End: 400000, Banda G, GC%: 49.2, AT%: 50.8
  Start: 400001, End: 405000, Banda R, GC%: 50.46, AT%: 49.54
  Start: 405001, End: 410000, Banda G, GC%: 48.28, AT%: 51.72
  Start: 410001, End: 415000, Banda R, GC%: 50.74, AT%: 49.26
  Start: 415001, End: 420000, Banda G, GC%: 47.68, AT%: 52.32
  Start: 420001, End: 425000, Banda R, GC%: 51.2, AT%: 48.8
  Start: 425001, End: 430000, Banda G, GC%: 48.62, AT%: 51.38
  Start: 430001, End: 435000, Banda R, GC%: 51.42, AT%: 48.58
  Start: 435001, End: 440000, Banda R, GC%: 50.62, AT%: 49.38
  Start: 440001, End: 445000, Banda R, GC%: 51.18, AT%: 48.82
  Start: 445001, End: 450000, Banda G, GC%: 47.06, AT%: 52.94
  Start: 450001, End: 455000, Banda R, GC%: 50.04, AT%: 49.96
  Start: 455001, End: 460000, Banda R, GC%: 51.84, AT%: 48.16
  Start: 460001, End: 465000, Banda R, GC%: 50.24, AT%: 49.76
  Start: 465001, End: 470000, Banda G, GC%: 48.78, AT%: 51.22
  Start: 470001, End: 475000, Banda G, GC%: 47.76, AT%: 52.24
  Start: 475001, End: 480000, Banda G, GC%: 48.28, AT%: 51.72
  Start: 480001, End: 485000, Banda G, GC%: 42.6, AT%: 57.4
  Start: 485001, End: 490000, Banda R, GC%: 51.58, AT%: 48.42
  Start: 490001, End: 495000, Banda R, GC%: 52.32, AT%: 47.68
  Start: 495001, End: 500000, Banda R, GC%: 51.22, AT%: 48.78
  Start: 500001, End: 505000, Banda G, GC%: 49.68, AT%: 50.32
  Start: 505001, End: 510000, Banda G, GC%: 46.58, AT%: 53.42
  Start: 510001, End: 515000, Banda G, GC%: 48.24, AT%: 51.76
  Start: 515001, End: 520000, Banda G, GC%: 46.42, AT%: 53.58
  Start: 520001, End: 525000, Banda G, GC%: 45.92, AT%: 54.08
  Start: 525001, End: 530000, Banda R, GC%: 50.22, AT%: 49.78
  Start: 530001, End: 535000, Banda G, GC%: 46.96, AT%: 53.04
  Start: 535001, End: 540000, Banda G, GC%: 47.88, AT%: 52.12
  Start: 540001, End: 545000, Banda G, GC%: 47.92, AT%: 52.08
  Start: 545001, End: 550000, Banda R, GC%: 50.92, AT%: 49.08
  Start: 550001, End: 555000, Banda R, GC%: 50.24, AT%: 49.76
  Start: 555001, End: 560000, Banda R, GC%: 50.62, AT%: 49.38
  Start: 560001, End: 565000, Banda R, GC%: 53.5, AT%: 46.5
  Start: 565001, End: 570000, Banda G, GC%: 49.12, AT%: 50.88
  Start: 570001, End: 575000, Banda R, GC%: 50.24, AT%: 49.76
  Start: 575001, End: 580000, Banda G, GC%: 45.86, AT%: 54.14
  Start: 580001, End: 585000, Banda G, GC%: 46.8, AT%: 53.2
  Start: 585001, End: 590000, Banda G, GC%: 46.94, AT%: 53.06
  Start: 590001, End: 595000, Banda G, GC%: 44.86, AT%: 55.14
  Start: 595001, End: 600000, Banda G, GC%: 48.6, AT%: 51.4
  Start: 600001, End: 605000, Banda G, GC%: 46.32, AT%: 53.68
  Start: 605001, End: 610000, Banda R, GC%: 50.8, AT%: 49.2
  Start: 610001, End: 615000, Banda G, GC%: 48.52, AT%: 51.48
  Start: 615001, End: 620000, Banda G, GC%: 47.46, AT%: 52.54
  Start: 620001, End: 625000, Banda G, GC%: 48.72, AT%: 51.28
  Start: 625001, End: 630000, Banda G, GC%: 46.88, AT%: 53.12
  Start: 630001, End: 635000, Banda R, GC%: 50.46, AT%: 49.54
  Start: 635001, End: 640000, Banda G, GC%: 49.92, AT%: 50.08
  Start: 640001, End: 645000, Banda G, GC%: 47.96, AT%: 52.04
  Start: 645001, End: 650000, Banda G, GC%: 48.86, AT%: 51.14
  Start: 650001, End: 655000, Banda G, GC%: 47.02, AT%: 52.98
  Start: 655001, End: 660000, Banda G, GC%: 46.08, AT%: 53.92
  Start: 660001, End: 665000, Banda G, GC%: 49.5, AT%: 50.5
  Start: 665001, End: 670000, Banda G, GC%: 46.38, AT%: 53.62
  Start: 670001, End: 675000, Banda G, GC%: 46.56, AT%: 53.44
  Start: 675001, End: 680000, Banda G, GC%: 49.84, AT%: 50.16
  Start: 680001, End: 685000, Banda G, GC%: 46.92, AT%: 53.08
  Start: 685001, End: 690000, Banda G, GC%: 46.14, AT%: 53.86
  Start: 690001, End: 695000, Banda G, GC%: 49.68, AT%: 50.32
  Start: 695001, End: 700000, Banda G, GC%: 47.22, AT%: 52.78
  Start: 700001, End: 705000, Banda G, GC%: 47.66, AT%: 52.34
  Start: 705001, End: 710000, Banda G, GC%: 49.54, AT%: 50.46
  Start: 710001, End: 715000, Banda G, GC%: 48.36, AT%: 51.64
  Start: 715001, End: 720000, Banda G, GC%: 49.58, AT%: 50.42
  Start: 720001, End: 725000, Banda G, GC%: 47.96, AT%: 52.04
  Start: 725001, End: 730000, Banda G, GC%: 46.36, AT%: 53.64
  Start: 730001, End: 735000, Banda G, GC%: 48.74, AT%: 51.26
  Start: 735001, End: 740000, Banda G, GC%: 48.54, AT%: 51.46
  Start: 740001, End: 745000, Banda G, GC%: 48.48, AT%: 51.52
  Start: 745001, End: 750000, Banda G, GC%: 49.74, AT%: 50.26
  Start: 750001, End: 755000, Banda R, GC%: 51.76, AT%: 48.24
  Start: 755001, End: 760000, Banda G, GC%: 49.74, AT%: 50.26
  Start: 760001, End: 765000, Banda G, GC%: 48.62, AT%: 51.38
  Start: 765001, End: 770000, Banda R, GC%: 50.32, AT%: 49.68
  Start: 770001, End: 775000, Banda G, GC%: 47.56, AT%: 52.44
  Start: 775001, End: 780000, Banda G, GC%: 46.06, AT%: 53.94
  Start: 780001, End: 785000, Banda G, GC%: 46.04, AT%: 53.96
  Start: 785001, End: 790000, Banda G, GC%: 48.9, AT%: 51.1
  Start: 790001, End: 795000, Banda G, GC%: 46.94, AT%: 53.06
  Start: 795001, End: 800000, Banda G, GC%: 43.44, AT%: 56.56
  Start: 800001, End: 805000, Banda G, GC%: 47.96, AT%: 52.04
  Start: 805001, End: 810000, Banda G, GC%: 48.26, AT%: 51.74
  Start: 810001, End: 815000, Banda G, GC%: 47.52, AT%: 52.48
  Start: 815001, End: 820000, Banda G, GC%: 48.38, AT%: 51.62
  Start: 820001, End: 825000, Banda G, GC%: 47.28, AT%: 52.72
  Start: 825001, End: 830000, Banda G, GC%: 47.64, AT%: 52.36
  Start: 830001, End: 835000, Banda G, GC%: 47.02, AT%: 52.98
  Start: 835001, End: 840000, Banda G, GC%: 44.8, AT%: 55.2
  Start: 840001, End: 845000, Banda G, GC%: 44.76, AT%: 55.24
  Start: 845001, End: 850000, Banda G, GC%: 49.22, AT%: 50.78
  Start: 850001, End: 855000, Banda G, GC%: 48.62, AT%: 51.38
  Start: 855001, End: 860000, Banda G, GC%: 47.04, AT%: 52.96
  Start: 860001, End: 865000, Banda G, GC%: 47.42, AT%: 52.58
  Start: 865001, End: 870000, Banda G, GC%: 45.28, AT%: 54.72
  Start: 870001, End: 875000, Banda G, GC%: 45.46, AT%: 54.54
  Start: 875001, End: 880000, Banda G, GC%: 46.74, AT%: 53.26
  Start: 880001, End: 885000, Banda G, GC%: 46.22, AT%: 53.78
  Start: 885001, End: 890000, Banda G, GC%: 49.54, AT%: 50.46
  Start: 890001, End: 895000, Banda R, GC%: 50.04, AT%: 49.96
  Start: 895001, End: 900000, Banda R, GC%: 50.62, AT%: 49.38
  Start: 900001, End: 905000, Banda R, GC%: 50.28, AT%: 49.72
  Start: 905001, End: 910000, Banda R, GC%: 52.62, AT%: 47.38
  Start: 910001, End: 915000, Banda G, GC%: 47.24, AT%: 52.76
  Start: 915001, End: 920000, Banda G, GC%: 47.52, AT%: 52.48
  Start: 920001, End: 925000, Banda G, GC%: 47.7, AT%: 52.3
  Start: 925001, End: 930000, Banda G, GC%: 49.22, AT%: 50.78
  Start: 930001, End: 935000, Banda G, GC%: 47.44, AT%: 52.56
  Start: 935001, End: 940000, Banda G, GC%: 47.5, AT%: 52.5
  Start: 940001, End: 945000, Banda G, GC%: 46.54, AT%: 53.46
  Start: 945001, End: 950000, Banda G, GC%: 45.82, AT%: 54.18
  Start: 950001, End: 955000, Banda G, GC%: 49.1, AT%: 50.9
  Start: 955001, End: 960000, Banda G, GC%: 47.36, AT%: 52.64
  Start: 960001, End: 965000, Banda G, GC%: 46.46, AT%: 53.54
  Start: 965001, End: 970000, Banda G, GC%: 45.38, AT%: 54.62
  Start: 970001, End: 975000, Banda G, GC%: 42.32, AT%: 57.68
  Start: 975001, End: 980000, Banda G, GC%: 45.14, AT%: 54.86
  Start: 980001, End: 985000, Banda G, GC%: 43.18, AT%: 56.82
  Start: 985001, End: 990000, Banda G, GC%: 45.32, AT%: 54.68
  Start: 990001, End: 995000, Banda G, GC%: 48.32, AT%: 51.68
  Start: 995001, End: 1000000, Banda G, GC%: 45.92, AT%: 54.08
  Start: 1000001, End: 1005000, Banda G, GC%: 45.76, AT%: 54.24
  Start: 1005001, End: 1010000, Banda G, GC%: 47.52, AT%: 52.48
  Start: 1010001, End: 1015000, Banda G, GC%: 49.84, AT%: 50.16
  Start: 1015001, End: 1020000, Banda R, GC%: 50.24, AT%: 49.76
  Start: 1020001, End: 1025000, Banda G, GC%: 49.86, AT%: 50.14
  Start: 1025001, End: 1030000, Banda G, GC%: 46.92, AT%: 53.08
  Start: 1030001, End: 1035000, Banda G, GC%: 46.54, AT%: 53.46
  Start: 1035001, End: 1040000, Banda G, GC%: 45.92, AT%: 54.08
  Start: 1040001, End: 1045000, Banda G, GC%: 45.9, AT%: 54.1
  Start: 1045001, End: 1050000, Banda G, GC%: 47.96, AT%: 52.04
  Start: 1050001, End: 1055000, Banda G, GC%: 41.0, AT%: 59.0
  Start: 1055001, End: 1060000, Banda G, GC%: 45.98, AT%: 54.02
  Start: 1060001, End: 1065000, Banda G, GC%: 45.68, AT%: 54.32
  Start: 1065001, End: 1070000, Banda G, GC%: 46.58, AT%: 53.42
  Start: 1070001, End: 1075000, Banda G, GC%: 45.0, AT%: 55.0
  Start: 1075001, End: 1080000, Banda R, GC%: 50.42, AT%: 49.58
  Start: 1080001, End: 1085000, Banda G, GC%: 37.6, AT%: 62.4
  Start: 1085001, End: 1090000, Banda G, GC%: 45.22, AT%: 54.78
  Start: 1090001, End: 1095000, Banda G, GC%: 44.26, AT%: 55.74
  Start: 1095001, End: 1100000, Banda G, GC%: 41.22, AT%: 58.78
  Start: 1100001, End: 1105000, Banda G, GC%: 32.5, AT%: 67.5
  Start: 1105001, End: 1110000, Banda G, GC%: 36.58, AT%: 63.42
  Start: 1110001, End: 1115000, Banda G, GC%: 37.36, AT%: 62.64
  Start: 1115001, End: 1120000, Banda G, GC%: 40.58, AT%: 59.42
  Start: 1120001, End: 1125000, Banda G, GC%: 35.92, AT%: 64.08
  Start: 1125001, End: 1130000, Banda G, GC%: 40.44, AT%: 59.56
  Start: 1130001, End: 1135000, Banda G, GC%: 45.58, AT%: 54.42
  Start: 1135001, End: 1140000, Banda G, GC%: 40.26, AT%: 59.74
  Start: 1140001, End: 1145000, Banda G, GC%: 39.3, AT%: 60.7
  Start: 1145001, End: 1150000, Banda G, GC%: 34.56, AT%: 65.44
  Start: 1150001, End: 1155000, Banda G, GC%: 37.34, AT%: 62.66
  Start: 1155001, End: 1160000, Banda R, GC%: 51.64, AT%: 48.36
  Start: 1160001, End: 1165000, Banda G, GC%: 47.5, AT%: 52.5
  Start: 1165001, End: 1170000, Banda G, GC%: 49.24, AT%: 50.76
  Start: 1170001, End: 1175000, Banda G, GC%: 48.46, AT%: 51.54
  Start: 1175001, End: 1180000, Banda G, GC%: 46.9, AT%: 53.1
  Start: 1180001, End: 1185000, Banda G, GC%: 47.26, AT%: 52.74
  Start: 1185001, End: 1190000, Banda G, GC%: 46.86, AT%: 53.14
  Start: 1190001, End: 1195000, Banda R, GC%: 52.18, AT%: 47.82
  Start: 1195001, End: 1200000, Banda G, GC%: 47.88, AT%: 52.12
  Start: 1200001, End: 1205000, Banda G, GC%: 48.98, AT%: 51.02
  Start: 1205001, End: 1210000, Banda G, GC%: 48.16, AT%: 51.84
  Start: 1210001, End: 1215000, Banda G, GC%: 49.22, AT%: 50.78
  Start: 1215001, End: 1220000, Banda G, GC%: 46.5, AT%: 53.5
  Start: 1220001, End: 1225000, Banda G, GC%: 49.04, AT%: 50.96
  Start: 1225001, End: 1230000, Banda G, GC%: 48.72, AT%: 51.28
  Start: 1230001, End: 1235000, Banda G, GC%: 49.22, AT%: 50.78
  Start: 1235001, End: 1240000, Banda G, GC%: 49.0, AT%: 51.0
  Start: 1240001, End: 1245000, Banda G, GC%: 49.42, AT%: 50.58
  Start: 1245001, End: 1250000, Banda G, GC%: 47.16, AT%: 52.84
  Start: 1250001, End: 1255000, Banda G, GC%: 48.02, AT%: 51.98
  Start: 1255001, End: 1260000, Banda G, GC%: 47.64, AT%: 52.36
  Start: 1260001, End: 1265000, Banda G, GC%: 44.2, AT%: 55.8
  Start: 1265001, End: 1270000, Banda G, GC%: 46.4, AT%: 53.6
  Start: 1270001, End: 1275000, Banda G, GC%: 45.52, AT%: 54.48
  Start: 1275001, End: 1280000, Banda G, GC%: 46.66, AT%: 53.34
  Start: 1280001, End: 1285000, Banda G, GC%: 45.1, AT%: 54.9
  Start: 1285001, End: 1290000, Banda G, GC%: 49.5, AT%: 50.5
  Start: 1290001, End: 1295000, Banda G, GC%: 49.38, AT%: 50.62
  Start: 1295001, End: 1300000, Banda G, GC%: 47.62, AT%: 52.38
  Start: 1300001, End: 1305000, Banda G, GC%: 47.58, AT%: 52.42
  Start: 1305001, End: 1310000, Banda R, GC%: 50.68, AT%: 49.32
  Start: 1310001, End: 1315000, Banda R, GC%: 59.58, AT%: 40.42
  Start: 1315001, End: 1320000, Banda G, GC%: 44.42, AT%: 55.58
  Start: 1320001, End: 1325000, Banda G, GC%: 46.06, AT%: 53.94
  Start: 1325001, End: 1330000, Banda G, GC%: 48.32, AT%: 51.68
  Start: 1330001, End: 1335000, Banda G, GC%: 47.64, AT%: 52.36
  Start: 1335001, End: 1340000, Banda G, GC%: 43.7, AT%: 56.3
  Start: 1340001, End: 1345000, Banda G, GC%: 48.22, AT%: 51.78
  Start: 1345001, End: 1350000, Banda G, GC%: 48.06, AT%: 51.94
  Start: 1350001, End: 1355000, Banda R, GC%: 50.9, AT%: 49.1
  Start: 1355001, End: 1360000, Banda G, GC%: 49.8, AT%: 50.2
  Start: 1360001, End: 1365000, Banda G, GC%: 46.86, AT%: 53.14
  Start: 1365001, End: 1370000, Banda R, GC%: 50.42, AT%: 49.58
  Start: 1370001, End: 1375000, Banda G, GC%: 47.0, AT%: 53.0
  Start: 1375001, End: 1380000, Banda G, GC%: 48.22, AT%: 51.78
  Start: 1380001, End: 1385000, Banda G, GC%: 48.42, AT%: 51.58
  Start: 1385001, End: 1390000, Banda G, GC%: 48.86, AT%: 51.14
  Start: 1390001, End: 1395000, Banda G, GC%: 48.64, AT%: 51.36
  Start: 1395001, End: 1400000, Banda G, GC%: 44.82, AT%: 55.18
  Start: 1400001, End: 1405000, Banda G, GC%: 48.16, AT%: 51.84
  Start: 1405001, End: 1410000, Banda G, GC%: 48.56, AT%: 51.44
  Start: 1410001, End: 1415000, Banda G, GC%: 48.46, AT%: 51.54
  Start: 1415001, End: 1420000, Banda G, GC%: 49.0, AT%: 51.0
  Start: 1420001, End: 1425000, Banda R, GC%: 50.52, AT%: 49.48
  Start: 1425001, End: 1430000, Banda G, GC%: 47.42, AT%: 52.58
  Start: 1430001, End: 1435000, Banda G, GC%: 48.48, AT%: 51.52
  Start: 1435001, End: 1440000, Banda G, GC%: 46.14, AT%: 53.86
  Start: 1440001, End: 1445000, Banda G, GC%: 45.48, AT%: 54.52
  Start: 1445001, End: 1450000, Banda G, GC%: 46.28, AT%: 53.72
  Start: 1450001, End: 1455000, Banda G, GC%: 44.52, AT%: 55.48
  Start: 1455001, End: 1460000, Banda G, GC%: 44.36, AT%: 55.64
  Start: 1460001, End: 1465000, Banda G, GC%: 43.82, AT%: 56.18
  Start: 1465001, End: 1470000, Banda G, GC%: 47.38, AT%: 52.62
  Start: 1470001, End: 1475000, Banda R, GC%: 50.48, AT%: 49.52
  Start: 1475001, End: 1480000, Banda G, GC%: 45.46, AT%: 54.54
  Start: 1480001, End: 1485000, Banda G, GC%: 46.7, AT%: 53.3
  Start: 1485001, End: 1490000, Banda G, GC%: 44.68, AT%: 55.32
  Start: 1490001, End: 1495000, Banda G, GC%: 45.42, AT%: 54.58
  Start: 1495001, End: 1500000, Banda G, GC%: 43.4, AT%: 56.6
  Start: 1500001, End: 1505000, Banda G, GC%: 44.78, AT%: 55.22
  Start: 1505001, End: 1510000, Banda G, GC%: 44.0, AT%: 56.0
  Start: 1510001, End: 1515000, Banda G, GC%: 47.06, AT%: 52.94
  Start: 1515001, End: 1520000, Banda G, GC%: 46.0, AT%: 54.0
  Start: 1520001, End: 1525000, Banda G, GC%: 47.62, AT%: 52.38
  Start: 1525001, End: 1530000, Banda G, GC%: 43.12, AT%: 56.88
  Start: 1530001, End: 1535000, Banda G, GC%: 45.26, AT%: 54.74
  Start: 1535001, End: 1540000, Banda G, GC%: 45.68, AT%: 54.32
  Start: 1540001, End: 1545000, Banda R, GC%: 51.02, AT%: 48.98
  Start: 1545001, End: 1550000, Banda R, GC%: 50.04, AT%: 49.96
  Start: 1550001, End: 1555000, Banda G, GC%: 48.36, AT%: 51.64
  Start: 1555001, End: 1560000, Banda R, GC%: 50.76, AT%: 49.24
  Start: 1560001, End: 1565000, Banda G, GC%: 45.12, AT%: 54.88
  Start: 1565001, End: 1570000, Banda G, GC%: 45.68, AT%: 54.32
  Start: 1570001, End: 1575000, Banda G, GC%: 46.4, AT%: 53.6
  Start: 1575001, End: 1580000, Banda G, GC%: 45.28, AT%: 54.72
  Start: 1580001, End: 1585000, Banda G, GC%: 46.62, AT%: 53.38
  Start: 1585001, End: 1590000, Banda G, GC%: 46.2, AT%: 53.8
  Start: 1590001, End: 1595000, Banda G, GC%: 48.76, AT%: 51.24
  Start: 1595001, End: 1600000, Banda R, GC%: 51.26, AT%: 48.74
  Start: 1600001, End: 1605000, Banda R, GC%: 52.92, AT%: 47.08
  Start: 1605001, End: 1610000, Banda G, GC%: 47.3, AT%: 52.7
  Start: 1610001, End: 1615000, Banda G, GC%: 42.54, AT%: 57.46
  Start: 1615001, End: 1620000, Banda G, GC%: 46.2, AT%: 53.8
  Start: 1620001, End: 1625000, Banda G, GC%: 46.84, AT%: 53.16
  Start: 1625001, End: 1630000, Banda G, GC%: 48.46, AT%: 51.54
  Start: 1630001, End: 1635000, Banda G, GC%: 48.04, AT%: 51.96
  Start: 1635001, End: 1640000, Banda G, GC%: 49.34, AT%: 50.66
  Start: 1640001, End: 1645000, Banda G, GC%: 47.96, AT%: 52.04
  Start: 1645001, End: 1650000, Banda G, GC%: 46.42, AT%: 53.58
  Start: 1650001, End: 1655000, Banda G, GC%: 47.64, AT%: 52.36
  Start: 1655001, End: 1660000, Banda G, GC%: 47.76, AT%: 52.24
  Start: 1660001, End: 1665000, Banda G, GC%: 47.96, AT%: 52.04
  Start: 1665001, End: 1670000, Banda G, GC%: 47.34, AT%: 52.66
  Start: 1670001, End: 1675000, Banda G, GC%: 44.28, AT%: 55.72
  Start: 1675001, End: 1680000, Banda G, GC%: 48.06, AT%: 51.94
  Start: 1680001, End: 1685000, Banda G, GC%: 47.88, AT%: 52.12
  Start: 1685001, End: 1690000, Banda R, GC%: 51.6, AT%: 48.4
  Start: 1690001, End: 1695000, Banda G, GC%: 46.42, AT%: 53.58
  Start: 1695001, End: 1700000, Banda G, GC%: 48.16, AT%: 51.84
  Start: 1700001, End: 1705000, Banda G, GC%: 47.48, AT%: 52.52
  Start: 1705001, End: 1710000, Banda G, GC%: 46.58, AT%: 53.42
  Start: 1710001, End: 1715000, Banda R, GC%: 50.28, AT%: 49.72
  Start: 1715001, End: 1720000, Banda G, GC%: 49.38, AT%: 50.62
  Start: 1720001, End: 1725000, Banda G, GC%: 49.24, AT%: 50.76
  Start: 1725001, End: 1730000, Banda G, GC%: 48.16, AT%: 51.84
  Start: 1730001, End: 1735000, Banda G, GC%: 48.28, AT%: 51.72
  Start: 1735001, End: 1740000, Banda G, GC%: 48.02, AT%: 51.98
  Start: 1740001, End: 1745000, Banda G, GC%: 46.28, AT%: 53.72
  Start: 1745001, End: 1750000, Banda R, GC%: 52.06, AT%: 47.94
  Start: 1750001, End: 1755000, Banda G, GC%: 47.86, AT%: 52.14
  Start: 1755001, End: 1760000, Banda G, GC%: 47.34, AT%: 52.66
  Start: 1760001, End: 1765000, Banda G, GC%: 45.24, AT%: 54.76
  Start: 1765001, End: 1770000, Banda G, GC%: 49.6, AT%: 50.4
  Start: 1770001, End: 1775000, Banda G, GC%: 49.36, AT%: 50.64
  Start: 1775001, End: 1780000, Banda G, GC%: 49.88, AT%: 50.12
  Start: 1780001, End: 1785000, Banda R, GC%: 52.08, AT%: 47.92
  Start: 1785001, End: 1790000, Banda G, GC%: 48.4, AT%: 51.6
  Start: 1790001, End: 1795000, Banda G, GC%: 49.66, AT%: 50.34
  Start: 1795001, End: 1800000, Banda G, GC%: 47.82, AT%: 52.18
  Start: 1800001, End: 1805000, Banda G, GC%: 45.5, AT%: 54.5
  Start: 1805001, End: 1810000, Banda G, GC%: 47.64, AT%: 52.36
  Start: 1810001, End: 1815000, Banda G, GC%: 46.86, AT%: 53.14
  Start: 1815001, End: 1820000, Banda G, GC%: 47.38, AT%: 52.62
  Start: 1820001, End: 1825000, Banda R, GC%: 50.76, AT%: 49.24
  Start: 1825001, End: 1830000, Banda G, GC%: 45.72, AT%: 54.28
